UniProtKB:P12270	TPR	Nucleoprotein TPR
UniProtKB:P60983	GMFB	Glia maturation factor beta
UniProtKB:Q9C035	TRIM5	Tripartite motif-containing protein 5
UniProtKB:Q6P2H3	CEP85	Centrosomal protein of 85 kDa
UniProtKB:Q460N5	PARP14	Poly [ADP-ribose] polymerase 14
UniProtKB:P05019	IGF1	Insulin-like growth factor I
UniProtKB:P05015	IFNA16	Interferon alpha-16
UniProtKB:P05014	IFNA4	Interferon alpha-4
UniProtKB:P05013	IFNA6	Interferon alpha-6
UniProtKB:P05000	IFNW1	Interferon omega-1
UniProtKB:Q9NR48	ASH1L	Histone-lysine N-methyltransferase ASH1L
UniProtKB:Q9C0C4	SEMA4C	Semaphorin-4C
UniProtKB:Q9C0C7	AMBRA1	Activating molecule in BECN1-regulated autophagy protein 1
UniProtKB:Q9BXN1	ASPN	Asporin
UniProtKB:P45985	MAP2K4	Dual specificity mitogen-activated protein kinase kinase 4
UniProtKB:Q9C0H9	SRCIN1	SRC kinase signaling inhibitor 1
UniProtKB:Q14118	DAG1	Dystroglycan
UniProtKB:P30153	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform
UniProtKB:P50613	CDK7	Cyclin-dependent kinase 7
UniProtKB:A6NNV3	SPDYE16	Putative speedy protein E16
UniProtKB:Q562E7	WDR81	WD repeat-containing protein 81
UniProtKB:Q9NRG9	AAAS	Aladin
UniProtKB:Q14152	EIF3A	Eukaryotic translation initiation factor 3 subunit A
UniProtKB:Q02763	TEK	Angiopoietin-1 receptor
UniProtKB:O60883	GPR37L1	Prosaposin receptor GPR37L1
UniProtKB:Q02750	MAP2K1	Dual specificity mitogen-activated protein kinase kinase 1
UniProtKB:P05106	ITGB3	Integrin beta-3
UniProtKB:Q14116	IL18	Interleukin-18
UniProtKB:Q14114	LRP8	Low-density lipoprotein receptor-related protein 8
UniProtKB:Q9UP38	FZD1	Frizzled-1
UniProtKB:P35658	NUP214	Nuclear pore complex protein Nup214
UniProtKB:P15173	MYOG	Myogenin
UniProtKB:P35625	TIMP3	Metalloproteinase inhibitor 3
UniProtKB:P15153	RAC2	Ras-related C3 botulinum toxin substrate 2
UniProtKB:Q9NS68	TNFRSF19	Tumor necrosis factor receptor superfamily member 19
UniProtKB:Q12959	DLG1	Disks large homolog 1
UniProtKB:Q9NRW4	DUSP22	Dual specificity protein phosphatase 22
UniProtKB:Q12933	TRAF2	TNF receptor-associated factor 2
UniProtKB:Q12913	PTPRJ	Receptor-type tyrosine-protein phosphatase eta
UniProtKB:A0A0B4J2E2	CCL15-CCL14	C-C motif chemokine
UniProtKB:Q96N67	DOCK7	Dedicator of cytokinesis protein 7
UniProtKB:P30048	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial
UniProtKB:P30046	DDT	D-dopachrome decarboxylase
UniProtKB:P30040	ERP29	Endoplasmic reticulum resident protein 29
UniProtKB:O00418	EEF2K	Eukaryotic elongation factor 2 kinase
UniProtKB:Q6UWL6	KIRREL2	Kin of IRRE-like protein 2
UniProtKB:Q8TEW0	PARD3	Partitioning defective 3 homolog
UniProtKB:O94907	DKK1	Dickkopf-related protein 1
UniProtKB:Q8TEV9	SMCR8	Guanine nucleotide exchange protein SMCR8
UniProtKB:A1E959	ODAM	Odontogenic ameloblast-associated protein
UniProtKB:Q30201	HFE	Hereditary hemochromatosis protein
UniProtKB:Q92854	SEMA4D	Semaphorin-4D
UniProtKB:Q8TF66	LRRC15	Leucine-rich repeat-containing protein 15
UniProtKB:Q99570	PIK3R4	Phosphoinositide 3-kinase regulatory subunit 4
UniProtKB:P63167	DYNLL1	Dynein light chain 1, cytoplasmic
UniProtKB:P53779	MAPK10	Mitogen-activated protein kinase 10
UniProtKB:Q99567	NUP88	Nuclear pore complex protein Nup88
UniProtKB:Q8TF42	UBASH3B	Ubiquitin-associated and SH3 domain-containing protein B
UniProtKB:Q8TF40	FNIP1	Folliculin-interacting protein 1
UniProtKB:Q99558	MAP3K14	Mitogen-activated protein kinase kinase kinase 14
UniProtKB:P63146	UBE2B	Ubiquitin-conjugating enzyme E2 B
UniProtKB:Q6UWF3	SCIMP	SLP adapter and CSK-interacting membrane protein
UniProtKB:Q86Z23	C1QL4	Complement C1q-like protein 4
UniProtKB:Q8TEM1	NUP210	Nuclear pore membrane glycoprotein 210
UniProtKB:Q86YN6	PPARGC1B	Peroxisome proliferator-activated receptor gamma coactivator 1-beta
UniProtKB:O96020	CCNE2	G1/S-specific cyclin-E2
UniProtKB:O96017	CHEK2	Serine/threonine-protein kinase Chk2
UniProtKB:O96013	PAK4	Serine/threonine-protein kinase PAK 4
UniProtKB:P61981	YWHAG	14-3-3 protein gamma
UniProtKB:Q15256	PTPRR	Receptor-type tyrosine-protein phosphatase R
UniProtKB:Q6UW88	EPGN	Epigen
UniProtKB:Q9UPY8	MAPRE3	Microtubule-associated protein RP/EB family member 3
UniProtKB:P61925	PKIA	cAMP-dependent protein kinase inhibitor alpha
UniProtKB:Q15208	STK38	Serine/threonine-protein kinase 38
UniProtKB:P04899	GNAI2	Guanine nucleotide-binding protein G(i) subunit alpha-2
UniProtKB:P0CI01	SPDYE6	Putative speedy protein E6
UniProtKB:Q8TDY2	RB1CC1	RB1-inducible coiled-coil protein 1
UniProtKB:Q8IY49	MMD2	Monocyte to macrophage differentiation factor 2
UniProtKB:O94813	SLIT2	Slit homolog 2 protein
UniProtKB:O94804	STK10	Serine/threonine-protein kinase 10
UniProtKB:Q6UVK1	CSPG4	Chondroitin sulfate proteoglycan 4
UniProtKB:P16234	PDGFRA	Platelet-derived growth factor receptor alpha
UniProtKB:P01185	AVP	Vasopressin-neurophysin 2-copeptin
UniProtKB:P51671	CCL11	Eotaxin
UniProtKB:P21917	DRD4	D(4) dopamine receptor
UniProtKB:Q9Y4G8	RAPGEF2	Rap guanine nucleotide exchange factor 2
UniProtKB:Q8N335	GPD1L	Glycerol-3-phosphate dehydrogenase 1-like protein
UniProtKB:Q7Z2X4	PID1	PTB-containing, cubilin and LRP1-interacting protein
UniProtKB:Q8N307	MUC20	Mucin-20
UniProtKB:P61968	LMO4	LIM domain transcription factor LMO4
UniProtKB:Q05923	DUSP2	Dual specificity protein phosphatase 2
UniProtKB:Q6VAB6	KSR2	Kinase suppressor of Ras 2
UniProtKB:Q8IW41	MAPKAPK5	MAP kinase-activated protein kinase 5
UniProtKB:Q8N2I9	STK40	Serine/threonine-protein kinase 40
UniProtKB:Q92574	TSC1	Hamartin
UniProtKB:Q7L8J4	SH3BP5L	SH3 domain-binding protein 5-like
UniProtKB:Q92583	CCL17	C-C motif chemokine 17
UniProtKB:Q9HC23	PROK2	Prokineticin-2
UniProtKB:Q13905	RAPGEF1	Rap guanine nucleotide exchange factor 1
UniProtKB:Q5MJ70	SPDYA	Speedy protein A
UniProtKB:Q9HBW1	LRRC4	Leucine-rich repeat-containing protein 4
UniProtKB:P21860	ERBB3	Receptor tyrosine-protein kinase erbB-3
UniProtKB:P80098	CCL7	C-C motif chemokine 7
UniProtKB:P36894	BMPR1A	Bone morphogenetic protein receptor type-1A
UniProtKB:P80075	CCL8	C-C motif chemokine 8
UniProtKB:Q10588	BST1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2
UniProtKB:Q7L7X3	TAOK1	Serine/threonine-protein kinase TAO1
UniProtKB:P28562	DUSP1	Dual specificity protein phosphatase 1
UniProtKB:Q8N271	PROM2	Prominin-2
UniProtKB:A4D1P6	WDR91	WD repeat-containing protein 91
UniProtKB:P21810	BGN	Biglycan
UniProtKB:P01344	IGF2	Insulin-like growth factor II
UniProtKB:P21802	FGFR2	Fibroblast growth factor receptor 2
UniProtKB:P08069	IGF1R	Insulin-like growth factor 1 receptor
UniProtKB:Q15111	PLCL1	Inactive phospholipase C-like protein 1
UniProtKB:Q15131	CDK10	Cyclin-dependent kinase 10
UniProtKB:P01308	INS	Insulin
UniProtKB:Q92600	CNOT9	CCR4-NOT transcription complex subunit 9
UniProtKB:O00755	WNT7A	Protein Wnt-7a
UniProtKB:Q8N1N5	CRIPAK	Cysteine-rich PAK1 inhibitor
UniProtKB:Q8N1N2	DYNAP	Dynactin-associated protein
UniProtKB:Q92633	LPAR1	Lysophosphatidic acid receptor 1
UniProtKB:Q9Y3I1	FBXO7	F-box only protein 7
UniProtKB:Q92673	SORL1	Sortilin-related receptor
UniProtKB:Q5S007	LRRK2	Leucine-rich repeat serine/threonine-protein kinase 2
UniProtKB:Q8N1F7	NUP93	Nuclear pore complex protein Nup93
UniProtKB:P11532	DMD	Dystrophin
UniProtKB:P06850	CRH	Corticoliberin
UniProtKB:Q9Y210	TRPC6	Short transient receptor potential channel 6
UniProtKB:Q99828	CIB1	Calcium and integrin-binding protein 1
UniProtKB:P58753	TIRAP	Toll/interleukin-1 receptor domain-containing adapter protein
UniProtKB:Q99816	TSG101	Tumor susceptibility gene 101 protein
UniProtKB:Q8WVI7	PPP1R1C	Protein phosphatase 1 regulatory subunit 1C
UniProtKB:P11021	HSPA5	78 kDa glucose-regulated protein
UniProtKB:Q15569	TESK1	Dual specificity testis-specific protein kinase 1
UniProtKB:Q6TCH7	PAQR3	Progestin and adipoQ receptor family member 3
UniProtKB:Q15546	MMD	Monocyte to macrophage differentiation factor
UniProtKB:Q15545	TAF7	Transcription initiation factor TFIID subunit 7
UniProtKB:Q5TA89	HES5	Transcription factor HES-5
UniProtKB:P06307	CCK	Cholecystokinin
UniProtKB:P06756	ITGAV	Integrin alpha-V
UniProtKB:P16591	FER	Tyrosine-protein kinase Fer
UniProtKB:P48436	SOX9	Transcription factor SOX-9
UniProtKB:P48431	SOX2	Transcription factor SOX-2
UniProtKB:O00626	CCL22	C-C motif chemokine 22
UniProtKB:O00622	CYR61	Protein CYR61
UniProtKB:Q6YHK3	CD109	CD109 antigen
UniProtKB:P51959	CCNG1	Cyclin-G1
UniProtKB:P51957	NEK4	Serine/threonine-protein kinase Nek4
UniProtKB:P51948	MNAT1	CDK-activating kinase assembly factor MAT1
UniProtKB:P51946	CCNH	Cyclin-H
UniProtKB:Q99731	CCL19	C-C motif chemokine 19
UniProtKB:Q8WUQ7	CACTIN	Cactin
UniProtKB:Q99988	GDF15	Growth/differentiation factor 15
UniProtKB:P31431	SDC4	Syndecan-4
UniProtKB:Q8WUM0	NUP133	Nuclear pore complex protein Nup133
UniProtKB:Q9Y6K9	IKBKG	NF-kappa-B essential modulator
UniProtKB:Q15493	RGN	Regucalcin
UniProtKB:Q8WUJ3	CEMIP	Cell migration-inducing and hyaluronan-binding protein
UniProtKB:Q9Y6N1	COX11	Cytochrome c oxidase assembly protein COX11, mitochondrial
UniProtKB:P06241	FYN	Tyrosine-protein kinase Fyn
UniProtKB:Q8WXC3	PYDC1	Pyrin domain-containing protein 1
UniProtKB:P53041	PPP5C	Serine/threonine-protein phosphatase 5
UniProtKB:Q8WUA2	PPIL4	Peptidyl-prolyl cis-trans isomerase-like 4
UniProtKB:Q8IZY2	ABCA7	ATP-binding cassette sub-family A member 7
UniProtKB:Q86WN2	IFNE	Interferon epsilon
UniProtKB:P26367	PAX6	Paired box protein Pax-6
UniProtKB:Q9HCC9	ZFYVE28	Lateral signaling target protein 2 homolog
UniProtKB:Q8TCI5	PIFO	Protein pitchfork
UniProtKB:Q5NUL3	FFAR4	Free fatty acid receptor 4
UniProtKB:Q15078	CDK5R1	Cyclin-dependent kinase 5 activator 1
UniProtKB:Q86WI3	NLRC5	Protein NLRC5
UniProtKB:Q15058	KIF14	Kinesin-like protein KIF14
UniProtKB:Q15046	KARS	Lysine--tRNA ligase
UniProtKB:P41279	MAP3K8	Mitogen-activated protein kinase kinase kinase 8
UniProtKB:Q15025	TNIP1	TNFAIP3-interacting protein 1
UniProtKB:Q6Q0C0	TRAF7	E3 ubiquitin-protein ligase TRAF7
UniProtKB:O00182	LGALS9	Galectin-9
UniProtKB:P41240	CSK	Tyrosine-protein kinase CSK
UniProtKB:P0CG47	UBB	Polyubiquitin-B
UniProtKB:O00175	CCL24	C-C motif chemokine 24
UniProtKB:O00165	HAX1	HCLS1-associated protein X-1
UniProtKB:P41221	WNT5A	Protein Wnt-5a
UniProtKB:P41220	RGS2	Regulator of G-protein signaling 2
UniProtKB:Q9HC62	SENP2	Sentrin-specific protease 2
UniProtKB:Q92598	HSPH1	Heat shock protein 105 kDa
UniProtKB:Q7RTN6	STRADA	STE20-related kinase adapter protein alpha
UniProtKB:Q8IVT5	KSR1	Kinase suppressor of Ras 1
UniProtKB:Q13882	PTK6	Protein-tyrosine kinase 6
UniProtKB:Q9HC29	NOD2	Nucleotide-binding oligomerization domain-containing protein 2
UniProtKB:P18669	PGAM1	Phosphoglycerate mutase 1
UniProtKB:P16050	ALOX15	Arachidonate 15-lipoxygenase
UniProtKB:Q13873	BMPR2	Bone morphogenetic protein receptor type-2
UniProtKB:Q92569	PIK3R3	Phosphatidylinositol 3-kinase regulatory subunit gamma
UniProtKB:P36507	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2
UniProtKB:P16035	TIMP2	Metalloproteinase inhibitor 2
UniProtKB:P04637	TP53	Cellular tumor antigen p53
UniProtKB:P04629	NTRK1	High affinity nerve growth factor receptor
UniProtKB:P04628	WNT1	Proto-oncogene Wnt-1
UniProtKB:Q9HBL6	LRTM1	Leucine-rich repeat and transmembrane domain-containing protein 1
UniProtKB:Q13822	ENPP2	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2
UniProtKB:P51452	DUSP3	Dual specificity protein phosphatase 3
UniProtKB:Q7Z6J4	FGD2	FYVE, RhoGEF and PH domain-containing protein 2
UniProtKB:Q7Z6J0	SH3RF1	E3 ubiquitin-protein ligase SH3RF1
UniProtKB:P78509	RELN	Reelin
UniProtKB:Q7Z6G3	NECAB2	N-terminal EF-hand calcium-binding protein 2
UniProtKB:P33681	CD80	T-lymphocyte activation antigen CD80
UniProtKB:Q9BXJ5	C1QTNF2	Complement C1q tumor necrosis factor-related protein 2
UniProtKB:P78563	ADARB1	Double-stranded RNA-specific editase 1
UniProtKB:Q8N5Y8	PARP16	Mono [ADP-ribose] polymerase PARP16
UniProtKB:P08476	INHBA	Inhibin beta A chain
UniProtKB:Q8N5S9	CAMKK1	Calcium/calmodulin-dependent protein kinase kinase 1
UniProtKB:Q7Z5Y7	KCTD20	BTB/POZ domain-containing protein KCTD20
UniProtKB:Q7Z5Y6	BMP8A	Bone morphogenetic protein 8A
UniProtKB:Q7Z699	SPRED1	Sprouty-related, EVH1 domain-containing protein 1
UniProtKB:Q7Z698	SPRED2	Sprouty-related, EVH1 domain-containing protein 2
UniProtKB:P55273	CDKN2D	Cyclin-dependent kinase 4 inhibitor D
UniProtKB:P55265	ADAR	Double-stranded RNA-specific adenosine deaminase
UniProtKB:Q9BY84	DUSP16	Dual specificity protein phosphatase 16
UniProtKB:P23396	RPS3	40S ribosomal protein S3
UniProtKB:P23381	WARS	Tryptophan--tRNA ligase, cytoplasmic
UniProtKB:Q7KZI7	MARK2	Serine/threonine-protein kinase MARK2
UniProtKB:Q9UBK2	PPARGC1A	Peroxisome proliferator-activated receptor gamma coactivator 1-alpha
UniProtKB:P23327	HRC	Sarcoplasmic reticulum histidine-rich calcium-binding protein
UniProtKB:Q7Z5L7	PODN	Podocan
UniProtKB:Q8N5C8	TAB3	TGF-beta-activated kinase 1 and MAP3K7-binding protein 3
UniProtKB:Q8N5A5	ZGPAT	Zinc finger CCCH-type with G patch domain-containing protein
UniProtKB:P0CG48	UBC	Polyubiquitin-C
UniProtKB:P18615	NELFE	Negative elongation factor E
UniProtKB:Q6L8Q7	PDE12	2',5'-phosphodiesterase 12
UniProtKB:P36544	CHRNA7	Neuronal acetylcholine receptor subunit alpha-7
UniProtKB:Q00613	HSF1	Heat shock factor protein 1
UniProtKB:P36575	ARR3	Arrestin-C
UniProtKB:P33552	CKS2	Cyclin-dependent kinases regulatory subunit 2
UniProtKB:Q8N4X5	AFAP1L2	Actin filament-associated protein 1-like 2
UniProtKB:O94885	SASH1	SAM and SH3 domain-containing protein 1
UniProtKB:O00410	IPO5	Importin-5
UniProtKB:P13010	XRCC5	X-ray repair cross-complementing protein 5
UniProtKB:P55160	NCKAP1L	Nck-associated protein 1-like
UniProtKB:O96014	WNT11	Protein Wnt-11
UniProtKB:Q3KP66	INAVA	Innate immunity activator protein
UniProtKB:P16118	PFKFB1	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1
UniProtKB:O95163	ELP1	Elongator complex protein 1
UniProtKB:O95150	TNFSF15	Tumor necrosis factor ligand superfamily member 15
UniProtKB:O00459	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta
UniProtKB:O00451	GFRA2	GDNF family receptor alpha-2
UniProtKB:Q96P31	FCRL3	Fc receptor-like protein 3
UniProtKB:Q9BRG1	VPS25	Vacuolar protein-sorting-associated protein 25
UniProtKB:P09211	GSTP1	Glutathione S-transferase P
UniProtKB:Q13404	UBE2V1	Ubiquitin-conjugating enzyme E2 variant 1
UniProtKB:Q6IMN6	CAPRIN2	Caprin-2
UniProtKB:Q9NZJ5	EIF2AK3	Eukaryotic translation initiation factor 2-alpha kinase 3
UniProtKB:Q9BWT7	CARD10	Caspase recruitment domain-containing protein 10
UniProtKB:Q9UKX7	NUP50	Nuclear pore complex protein Nup50
UniProtKB:Q7Z3B4	NUP54	Nucleoporin p54
UniProtKB:P80192	MAP3K9	Mitogen-activated protein kinase kinase kinase 9
IntAct:EBI-13943368	abeta-42_human	Amyloid-beta protein 42 complex
IntAct:EBI-14348029	abeta-42-oligomer_human	Amyloid-beta protein 42 oligomeric complex
IntAct:EBI-1246076	cak_human	Cyclin-dependent protein kinase-activating kinase complex
IntAct:EBI-9685439	amy3-receptor_human	Amylin receptor 3 complex
UniProtKB:Q9BQI3	EIF2AK1	Eukaryotic translation initiation factor 2-alpha kinase 1
UniProtKB:P0C7Q3	FAM58BP	Putative cyclin-related protein FAM58B
UniProtKB:Q9NYL2	MAP3K20	Mitogen-activated protein kinase kinase kinase 20
UniProtKB:Q8IX03	WWC1	Protein KIBRA
UniProtKB:P58294	PROK1	Prokineticin-1
UniProtKB:Q92622	RUBCN	Run domain Beclin-1-interacting and cysteine-rich domain-containing protein
UniProtKB:Q92621	NUP205	Nuclear pore complex protein Nup205
UniProtKB:Q92616	GCN1	eIF-2-alpha kinase activator GCN1
UniProtKB:Q9HCJ2	LRRC4C	Leucine-rich repeat-containing protein 4C
UniProtKB:Q8TD23	ZNF675	Zinc finger protein 675
UniProtKB:P01138	NGF	Beta-nerve growth factor
UniProtKB:P01137	TGFB1	Transforming growth factor beta-1
UniProtKB:P01135	TGFA	Protransforming growth factor alpha
UniProtKB:P01133	EGF	Pro-epidermal growth factor
UniProtKB:P26842	CD27	CD27 antigen
UniProtKB:Q96C90	PPP1R14B	Protein phosphatase 1 regulatory subunit 14B
UniProtKB:P01127	PDGFB	Platelet-derived growth factor subunit B
UniProtKB:P01116	KRAS	GTPase KRas
UniProtKB:P01112	HRAS	GTPase HRas
UniProtKB:Q99527	GPER1	G-protein coupled estrogen receptor 1
UniProtKB:P01106	MYC	Myc proto-oncogene protein
UniProtKB:Q05655	PRKCD	Protein kinase C delta type
UniProtKB:Q4KMG0	CDON	Cell adhesion molecule-related/down-regulated by oncogenes
UniProtKB:Q96C45	ULK4	Serine/threonine-protein kinase ULK4
UniProtKB:Q04912	MST1R	Macrophage-stimulating protein receptor
UniProtKB:P49279	SLC11A1	Natural resistance-associated macrophage protein 1
UniProtKB:O95972	BMP15	Bone morphogenetic protein 15
UniProtKB:P37840	SNCA	Alpha-synuclein
