UniProtKB:P12270	TPR	Nucleoprotein TPR
UniProtKB:Q8NHU3	SGMS2	Phosphatidylcholine:ceramide cholinephosphotransferase 2
UniProtKB:P22004	BMP6	Bone morphogenetic protein 6
UniProtKB:P22003	BMP5	Bone morphogenetic protein 5
UniProtKB:O95905	ECD	Protein ecdysoneless homolog
UniProtKB:Q96EV8	DTNBP1	Dysbindin
UniProtKB:P52798	EFNA4	Ephrin-A4
UniProtKB:P52797	EFNA3	Ephrin-A3
UniProtKB:O75438	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1
UniProtKB:P10606	COX5B	Cytochrome c oxidase subunit 5B, mitochondrial
UniProtKB:P52790	HK3	Hexokinase-3
UniProtKB:P10600	TGFB3	Transforming growth factor beta-3
UniProtKB:Q9UHD2	TBK1	Serine/threonine-protein kinase TBK1
UniProtKB:Q9UHD1	CHORDC1	Cysteine and histidine-rich domain-containing protein 1
UniProtKB:P52789	HK2	Hexokinase-2
UniProtKB:O43566	RGS14	Regulator of G-protein signaling 14
UniProtKB:O75414	NME6	Nucleoside diphosphate kinase 6
UniProtKB:O43559	FRS3	Fibroblast growth factor receptor substrate 3
UniProtKB:O75674	TOM1L1	TOM1-like protein 1
UniProtKB:Q9UHA4	LAMTOR3	Ragulator complex protein LAMTOR3
UniProtKB:P32298	GRK4	G protein-coupled receptor kinase 4
UniProtKB:P32297	CHRNA3	Neuronal acetylcholine receptor subunit alpha-3
UniProtKB:O43541	SMAD6	Mothers against decapentaplegic homolog 6
UniProtKB:P00403	MT-CO2	Cytochrome c oxidase subunit 2
UniProtKB:P52735	VAV2	Guanine nucleotide exchange factor VAV2
UniProtKB:Q6R327	RICTOR	Rapamycin-insensitive companion of mTOR
UniProtKB:P00395	MT-CO1	Cytochrome c oxidase subunit 1
UniProtKB:P32249	GPR183	G-protein coupled receptor 183
UniProtKB:P32248	CCR7	C-C chemokine receptor type 7
UniProtKB:P32246	CCR1	C-C chemokine receptor type 1
UniProtKB:P32239	CCKBR	Gastrin/cholecystokinin type B receptor
UniProtKB:Q96EL1	FAM212A	PAK4-inhibitor INKA1
UniProtKB:P20827	EFNA1	Ephrin-A1
UniProtKB:P27540	ARNT	Aryl hydrocarbon receptor nuclear translocator
UniProtKB:Q9UEW3	MARCO	Macrophage receptor MARCO
UniProtKB:P42574	CASP3	Caspase-3
UniProtKB:Q9UEW8	STK39	STE20/SPS1-related proline-alanine-rich protein kinase
UniProtKB:Q16288	NTRK3	NT-3 growth factor receptor
UniProtKB:P20809	IL11	Interleukin-11
UniProtKB:P62993	GRB2	Growth factor receptor-bound protein 2
UniProtKB:O14957	UQCR11	Cytochrome b-c1 complex subunit 10
UniProtKB:P00338	LDHA	L-lactate dehydrogenase A chain
UniProtKB:P62987	UBA52	Ubiquitin-60S ribosomal protein L40
UniProtKB:P62979	RPS27A	Ubiquitin-40S ribosomal protein S27a
UniProtKB:O43823	AKAP8	A-kinase anchor protein 8
UniProtKB:Q9Y6S9	RPS6KL1	Ribosomal protein S6 kinase-like 1
UniProtKB:P62942	FKBP1A	Peptidyl-prolyl cis-trans isomerase FKBP1A
UniProtKB:Q96EB1	ELP4	Elongator complex protein 4
UniProtKB:Q70Z35	PREX2	Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 2 protein
UniProtKB:Q9UGN4	CD300A	CMRF35-like molecule 8
UniProtKB:P60510	PPP4C	Serine/threonine-protein phosphatase 4 catalytic subunit
UniProtKB:P10599	TXN	Thioredoxin
UniProtKB:Q9Y6N7	ROBO1	Roundabout homolog 1
UniProtKB:Q16635	TAZ	Tafazzin
UniProtKB:Q9H2J4	PDCL3	Phosducin-like protein 3
UniProtKB:Q16627	CCL14	C-C motif chemokine 14
UniProtKB:Q16620	NTRK2	BDNF/NT-3 growth factors receptor
UniProtKB:P49593	PPM1F	Protein phosphatase 1F
UniProtKB:Q16611	BAK1	Bcl-2 homologous antagonist/killer
UniProtKB:P22392	NME2	Nucleoside diphosphate kinase B
UniProtKB:P10997	IAPP	Islet amyloid polypeptide
UniProtKB:Q9H2G4	TSPYL2	Testis-specific Y-encoded-like protein 2
UniProtKB:Q9H2G2	SLK	STE20-like serine/threonine-protein kinase
UniProtKB:P22362	CCL1	C-C motif chemokine 1
UniProtKB:P17020	ZNF16	Zinc finger protein 16
UniProtKB:Q9UEF7	KL	Klotho
UniProtKB:O75791	GRAP2	GRB2-related adapter protein 2
UniProtKB:Q9UBD9	CLCF1	Cardiotrophin-like cytokine factor 1
UniProtKB:Q9UKJ0	PILRB	Paired immunoglobulin-like type 2 receptor beta
UniProtKB:O75787	ATP6AP2	Renin receptor
UniProtKB:Q9UBE8	NLK	Serine/threonine-protein kinase NLK
UniProtKB:Q9UKI8	TLK1	Serine/threonine-protein kinase tousled-like 1
UniProtKB:Q9UBF8	PI4KB	Phosphatidylinositol 4-kinase beta
UniProtKB:Q96HY7	DHTKD1	Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial
UniProtKB:Q96HY6	DDRGK1	DDRGK domain-containing protein 1
UniProtKB:Q9UKE5	TNIK	TRAF2 and NCK-interacting protein kinase
UniProtKB:O75342	ALOX12B	Arachidonate 12-lipoxygenase, 12R-type
UniProtKB:P10909	CLU	Clusterin
UniProtKB:Q9UBK5	HCST	Hematopoietic cell signal transducer
UniProtKB:O75716	STK16	Serine/threonine-protein kinase 16
UniProtKB:P02765	AHSG	Alpha-2-HS-glycoprotein
UniProtKB:P17612	PRKACA	cAMP-dependent protein kinase catalytic subunit alpha
UniProtKB:Q9UKB1	FBXW11	F-box/WD repeat-containing protein 11
UniProtKB:Q6IAA8	LAMTOR1	Ragulator complex protein LAMTOR1
UniProtKB:Q6XR72	SLC30A10	Zinc transporter 10
UniProtKB:O95819	MAP4K4	Mitogen-activated protein kinase kinase kinase kinase 4
UniProtKB:Q06323	PSME1	Proteasome activator complex subunit 1
UniProtKB:Q96P53	WDFY2	WD repeat and FYVE domain-containing protein 2
UniProtKB:P42229	STAT5A	Signal transducer and activator of transcription 5A
UniProtKB:Q9Y258	CCL26	C-C motif chemokine 26
UniProtKB:Q9H257	CARD9	Caspase recruitment domain-containing protein 9
UniProtKB:P12074	COX6A1	Cytochrome c oxidase subunit 6A1, mitochondrial
UniProtKB:Q9Y264	ANGPT4	Angiopoietin-4
UniProtKB:Q9P1W9	PIM2	Serine/threonine-protein kinase pim-2
UniProtKB:Q30KQ6	DEFB114	Beta-defensin 114
UniProtKB:Q5VWQ8	DAB2IP	Disabled homolog 2-interacting protein
UniProtKB:Q9H1R3	MYLK2	Myosin light chain kinase 2, skeletal/cardiac muscle
UniProtKB:Q9H1R2	DUSP15	Dual specificity protein phosphatase 15
UniProtKB:Q9P296	C5AR2	C5a anaphylatoxin chemotactic receptor 2
UniProtKB:Q9H223	EHD4	EH domain-containing protein 4
UniProtKB:Q16595	FXN	Frataxin, mitochondrial
UniProtKB:P12034	FGF5	Fibroblast growth factor 5
UniProtKB:Q16584	MAP3K11	Mitogen-activated protein kinase kinase kinase 11
UniProtKB:Q9UK58	CCNL1	Cyclin-L1
UniProtKB:P07359	GP1BA	Platelet glycoprotein Ib alpha chain
UniProtKB:P07355	ANXA2	Annexin A2
UniProtKB:Q16568	CARTPT	Cocaine- and amphetamine-regulated transcript protein
UniProtKB:Q16566	CAMK4	Calcium/calmodulin-dependent protein kinase type IV
UniProtKB:Q96GD4	AURKB	Aurora kinase B
UniProtKB:P42685	FRK	Tyrosine-protein kinase FRK
UniProtKB:P42684	ABL2	Abelson tyrosine-protein kinase 2
UniProtKB:P42681	TXK	Tyrosine-protein kinase TXK
UniProtKB:P42679	MATK	Megakaryocyte-associated tyrosine-protein kinase
UniProtKB:Q96B36	AKT1S1	Proline-rich AKT1 substrate 1
UniProtKB:O43653	PSCA	Prostate stem cell antigen
UniProtKB:P07205	PGK2	Phosphoglycerate kinase 2
UniProtKB:Q16401	PSMD5	26S proteasome non-ATPase regulatory subunit 5
UniProtKB:O43674	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial
UniProtKB:O43678	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2
UniProtKB:O43679	LDB2	LIM domain-binding protein 2
UniProtKB:P20794	MAK	Serine/threonine-protein kinase MAK
UniProtKB:Q9Y3D8	AK6	Adenylate kinase isoenzyme 6
UniProtKB:P10767	FGF6	Fibroblast growth factor 6
UniProtKB:Q9UIJ7	AK3	GTP:AMP phosphotransferase AK3, mitochondrial
UniProtKB:O75582	RPS6KA5	Ribosomal protein S6 kinase alpha-5
UniProtKB:O75581	LRP6	Low-density lipoprotein receptor-related protein 6
UniProtKB:P49336	CDK8	Cyclin-dependent kinase 8
UniProtKB:Q96FZ7	CHMP6	Charged multivesicular body protein 6
UniProtKB:P47974	ZFP36L2	mRNA decay activator protein ZFP36L2
UniProtKB:P10747	CD28	T-cell-specific surface glycoprotein CD28
UniProtKB:O75569	PRKRA	Interferon-inducible double-stranded RNA-dependent protein kinase activator A
UniProtKB:P47989	XDH	Xanthine dehydrogenase/oxidase
UniProtKB:Q9UIG0	BAZ1B	Tyrosine-protein kinase BAZ1B
UniProtKB:O75553	DAB1	Disabled homolog 1
UniProtKB:P10721	KIT	Mast/stem cell growth factor receptor Kit
UniProtKB:O43683	BUB1	Mitotic checkpoint serine/threonine-protein kinase BUB1
UniProtKB:Q06187	BTK	Tyrosine-protein kinase BTK
UniProtKB:Q9BXA6	TSSK6	Testis-specific serine/threonine-protein kinase 6
UniProtKB:O43677	NDUFC1	NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial
UniProtKB:O43676	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3
UniProtKB:O75528	TADA3	Transcriptional adapter 3
UniProtKB:P0DJI8	SAA1	Serum amyloid A-1 protein
UniProtKB:P17405	SMPD1	Sphingomyelin phosphodiesterase
UniProtKB:O43639	NCK2	Cytoplasmic protein NCK2
UniProtKB:P52848	NDST1	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1
UniProtKB:Q9H093	NUAK2	NUAK family SNF1-like kinase 2
UniProtKB:Q06124	PTPN11	Tyrosine-protein phosphatase non-receptor type 11
UniProtKB:O43613	HCRTR1	Orexin receptor type 1
UniProtKB:P52824	DGKQ	Diacylglycerol kinase theta
UniProtKB:O43609	SPRY1	Protein sprouty homolog 1
UniProtKB:P20936	RASA1	Ras GTPase-activating protein 1
UniProtKB:P07196	NEFL	Neurofilament light polypeptide
UniProtKB:Q9UHV2	SERTAD1	SERTA domain-containing protein 1
UniProtKB:P00441	SOD1	Superoxide dismutase [Cu-Zn]
UniProtKB:Q9P2Y5	UVRAG	UV radiation resistance-associated gene protein
UniProtKB:P00414	MT-CO3	Cytochrome c oxidase subunit 3
UniProtKB:Q8NEM0	MCPH1	Microcephalin
UniProtKB:Q96C11	FGGY	FGGY carbohydrate kinase domain-containing protein
UniProtKB:A4QPH2	PI4KAP2	Putative phosphatidylinositol 4-kinase alpha-like protein P2
UniProtKB:P23528	CFL1	Cofilin-1
UniProtKB:Q9NYV4	CDK12	Cyclin-dependent kinase 12
UniProtKB:P18847	ATF3	Cyclic AMP-dependent transcription factor ATF-3
UniProtKB:P18825	ADRA2C	Alpha-2C adrenergic receptor
UniProtKB:Q9NYY3	PLK2	Serine/threonine-protein kinase PLK2
UniProtKB:Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U
UniProtKB:Q3MIX3	ADCK5	Uncharacterized aarF domain-containing protein kinase 5
UniProtKB:Q495Y8	SPDYE2	Speedy protein E2
UniProtKB:Q495Y7	SPDYE7P	Putative speedy protein E7
UniProtKB:Q13485	SMAD4	Mothers against decapentaplegic homolog 4
UniProtKB:Q7Z7A1	CNTRL	Centriolin
UniProtKB:Q9P0W0	IFNK	Interferon kappa
UniProtKB:P13236	CCL4	C-C motif chemokine 4
UniProtKB:Q8N6T7	SIRT6	NAD-dependent protein deacetylase sirtuin-6
UniProtKB:P08574	CYC1	Cytochrome c1, heme protein, mitochondrial
UniProtKB:Q8N752	CSNK1A1L	Casein kinase I isoform alpha-like
UniProtKB:O00206	TLR4	Toll-like receptor 4
UniProtKB:Q9P0R6	GSKIP	GSK3B-interacting protein
UniProtKB:P80511	S100A12	Protein S100-A12
UniProtKB:O00231	PSMD11	26S proteasome non-ATPase regulatory subunit 11
UniProtKB:Q9BWU1	CDK19	Cyclin-dependent kinase 19
UniProtKB:O00238	BMPR1B	Bone morphogenetic protein receptor type-1B
UniProtKB:P60033	CD81	CD81 antigen
UniProtKB:Q9P0J0	NDUFA13	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13
UniProtKB:P23458	JAK1	Tyrosine-protein kinase JAK1
UniProtKB:P46663	BDKRB1	B1 bradykinin receptor
UniProtKB:P23443	RPS6KB1	Ribosomal protein S6 kinase beta-1
UniProtKB:Q15633	TARBP2	RISC-loading complex subunit TARBP2
UniProtKB:P06400	RB1	Retinoblastoma-associated protein
UniProtKB:Q8WWA0	ITLN1	Intelectin-1
UniProtKB:Q99801	NKX3-1	Homeobox protein Nkx-3.1
UniProtKB:O00764	PDXK	Pyridoxal kinase
UniProtKB:P48556	PSMD8	26S proteasome non-ATPase regulatory subunit 8
UniProtKB:Q01973	ROR1	Inactive tyrosine-protein kinase transmembrane receptor ROR1
UniProtKB:Q06830	PRDX1	Peroxiredoxin-1
UniProtKB:O00750	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta
UniProtKB:Q16877	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4
UniProtKB:P28074	PSMB5	Proteasome subunit beta type-5
UniProtKB:P28072	PSMB6	Proteasome subunit beta type-6
UniProtKB:Q9Y5S8	NOX1	NADPH oxidase 1
UniProtKB:P28065	PSMB9	Proteasome subunit beta type-9
UniProtKB:P28062	PSMB8	Proteasome subunit beta type-8
UniProtKB:P16671	CD36	Platelet glycoprotein 4
UniProtKB:Q53H12	AGK	Acylglycerol kinase, mitochondrial
UniProtKB:Q8WVZ9	KBTBD7	Kelch repeat and BTB domain-containing protein 7
UniProtKB:Q3ZCV2	LEXM	Lymphocyte expansion molecule
UniProtKB:Q05397	PTK2	Focal adhesion kinase 1
UniProtKB:Q56UN5	MAP3K19	Mitogen-activated protein kinase kinase kinase 19
UniProtKB:Q99873	PRMT1	Protein arginine N-methyltransferase 1
UniProtKB:P16619	CCL3L1	C-C motif chemokine 3-like 1
UniProtKB:Q7Z7J9	CAMK2N1	Calcium/calmodulin-dependent protein kinase II inhibitor 1
UniProtKB:O95861	BPNT1	3'(2'),5'-bisphosphate nucleotidase 1
UniProtKB:Q9UGK3	STAP2	Signal-transducing adaptor protein 2
UniProtKB:Q8NFU5	IPMK	Inositol polyphosphate multikinase
UniProtKB:Q9UGJ0	PRKAG2	5'-AMP-activated protein kinase subunit gamma-2
UniProtKB:P52803	EFNA5	Ephrin-A5
UniProtKB:Q8NFV5	SPDYE1	Speedy protein E1
UniProtKB:O75385	ULK1	Serine/threonine-protein kinase ULK1
UniProtKB:O75380	NDUFS6	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial
UniProtKB:P49137	MAPKAPK2	MAP kinase-activated protein kinase 2
UniProtKB:Q9UGI9	PRKAG3	5'-AMP-activated protein kinase subunit gamma-3
UniProtKB:Q96DZ5	CLIP3	CAP-Gly domain-containing linker protein 3
UniProtKB:O75376	NCOR1	Nuclear receptor corepressor 1
UniProtKB:O95835	LATS1	Serine/threonine-protein kinase LATS1
UniProtKB:P08F94	PKHD1	Fibrocystin
UniProtKB:O75367	H2AFY	Core histone macro-H2A.1
UniProtKB:O75356	ENTPD5	Ectonucleoside triphosphate diphosphohydrolase 5
UniProtKB:P17252	PRKCA	Protein kinase C alpha type
UniProtKB:O75326	SEMA7A	Semaphorin-7A
UniProtKB:O75323	NIPSNAP2	Protein NipSnap homolog 2
UniProtKB:Q9Y6E0	STK24	Serine/threonine-protein kinase 24
UniProtKB:O75306	NDUFS2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial
UniProtKB:P05813	CRYBA1	Beta-crystallin A3
UniProtKB:P0C264	SBK3	Uncharacterized serine/threonine-protein kinase SBK3
UniProtKB:P0C263	SBK2	Serine/threonine-protein kinase SBK2
UniProtKB:P32189	GK	Glycerol kinase
UniProtKB:P47985	UQCRFS1	Cytochrome b-c1 complex subunit Rieske, mitochondrial
UniProtKB:P20783	NTF3	Neurotrophin-3
UniProtKB:P52630	STAT2	Signal transducer and activator of transcription 2
UniProtKB:P0C1S8	WEE2	Wee1-like protein kinase 2
UniProtKB:Q9Y639	NPTN	Neuroplastin
UniProtKB:Q5VST9	OBSCN	Obscurin
UniProtKB:P32121	ARRB2	Beta-arrestin-2
UniProtKB:Q5VT25	CDC42BPA	Serine/threonine-protein kinase MRCK alpha
UniProtKB:Q08495	DMTN	Dematin
UniProtKB:Q9Y5X1	SNX9	Sorting nexin-9
UniProtKB:Q9Y5X5	NPFFR2	Neuropeptide FF receptor 2
UniProtKB:P47900	P2RY1	P2Y purinoceptor 1
UniProtKB:P42680	TEC	Tyrosine-protein kinase Tec
UniProtKB:Q9Y5V3	MAGED1	Melanoma-associated antigen D1
UniProtKB:P62877	RBX1	E3 ubiquitin-protein ligase RBX1
UniProtKB:Q04771	ACVR1	Activin receptor type-1
UniProtKB:Q9Y5U5	TNFRSF18	Tumor necrosis factor receptor superfamily member 18
UniProtKB:Q04759	PRKCQ	Protein kinase C theta type
UniProtKB:Q9Y5S2	CDC42BPB	Serine/threonine-protein kinase MRCK beta
UniProtKB:P30988	CALCR	Calcitonin receptor
UniProtKB:P62834	RAP1A	Ras-related protein Rap-1A
UniProtKB:Q04721	NOTCH2	Neurogenic locus notch homolog protein 2
UniProtKB:Q13188	STK3	Serine/threonine-protein kinase 3
UniProtKB:Q9Y5P4	COL4A3BP	Collagen type IV alpha-3-binding protein
UniProtKB:P42356	PI4KA	Phosphatidylinositol 4-kinase alpha
UniProtKB:P42345	MTOR	Serine/threonine-protein kinase mTOR
UniProtKB:Q96DU7	ITPKC	Inositol-trisphosphate 3-kinase C
UniProtKB:P42336	PIK3CA	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform
UniProtKB:Q8NFZ5	TNIP2	TNFAIP3-interacting protein 2
UniProtKB:Q8NFZ0	FBXO18	F-box DNA helicase 1
UniProtKB:Q6ZS72	PEAK3	Uncharacterized protein PEAK3
UniProtKB:O75293	GADD45B	Growth arrest and DNA damage-inducible protein GADD45 beta
UniProtKB:O95750	FGF19	Fibroblast growth factor 19
UniProtKB:Q14997	PSME4	Proteasome activator complex subunit 4
UniProtKB:P05771	PRKCB	Protein kinase C beta type
UniProtKB:Q8NG66	NEK11	Serine/threonine-protein kinase Nek11
UniProtKB:O75832	PSMD10	26S proteasome non-ATPase regulatory subunit 10
UniProtKB:P10415	BCL2	Apoptosis regulator Bcl-2
UniProtKB:Q6P9H4	CNKSR3	Connector enhancer of kinase suppressor of ras 3
UniProtKB:Q14957	GRIN2C	Glutamate receptor ionotropic, NMDA 2C
UniProtKB:Q14956	GPNMB	Transmembrane glycoprotein NMB
UniProtKB:O43374	RASA4	Ras GTPase-activating protein 4
UniProtKB:P52564	MAP2K6	Dual specificity mitogen-activated protein kinase kinase 6
UniProtKB:Q96EB6	SIRT1	NAD-dependent protein deacetylase sirtuin-1
UniProtKB:Q9Y5B8	NME7	Nucleoside diphosphate kinase 7
UniProtKB:P47897	QARS	Glutamine--tRNA ligase
UniProtKB:P04183	TK1	Thymidine kinase, cytosolic
UniProtKB:Q8NFM7	IL17RD	Interleukin-17 receptor D
UniProtKB:Q8NFM4	ADCY4	Adenylate cyclase type 4
UniProtKB:P07332	FES	Tyrosine-protein kinase Fes/Fps
UniProtKB:Q9UGP4	LIMD1	LIM domain-containing protein 1
UniProtKB:Q96EE3	SEH1L	Nucleoporin SEH1
UniProtKB:O43318	MAP3K7	Mitogen-activated protein kinase kinase kinase 7
UniProtKB:P20674	COX5A	Cytochrome c oxidase subunit 5A, mitochondrial
UniProtKB:Q8NFJ5	GPRC5A	Retinoic acid-induced protein 3
UniProtKB:Q9NX09	DDIT4	DNA damage-inducible transcript 4 protein
UniProtKB:Q8NFH5	NUP35	Nucleoporin NUP53
UniProtKB:Q8NFH4	NUP37	Nucleoporin Nup37
UniProtKB:Q8NFH3	NUP43	Nucleoporin Nup43
UniProtKB:P15976	GATA1	Erythroid transcription factor
UniProtKB:P27361	MAPK3	Mitogen-activated protein kinase 3
UniProtKB:Q8NFG4	FLCN	Folliculin
UniProtKB:Q9Y6W8	ICOS	Inducible T-cell costimulator
UniProtKB:P00156	MT-CYB	Cytochrome b
UniProtKB:P20618	PSMB1	Proteasome subunit beta type-1
UniProtKB:P15954	COX7C	Cytochrome c oxidase subunit 7C, mitochondrial
UniProtKB:Q59H18	TNNI3K	Serine/threonine-protein kinase TNNI3K
UniProtKB:Q8NFD2	ANKK1	Ankyrin repeat and protein kinase domain-containing protein 1
UniProtKB:Q9Y572	RIPK3	Receptor-interacting serine/threonine-protein kinase 3
UniProtKB:Q9UER7	DAXX	Death domain-associated protein 6
UniProtKB:Q9UF33	EPHA6	Ephrin type-A receptor 6
UniProtKB:Q04656	ATP7A	Copper-transporting ATPase 1
UniProtKB:Q96F24	NRBF2	Nuclear receptor-binding factor 2
UniProtKB:Q9Y4R8	TELO2	Telomere length regulation protein TEL2 homolog
UniProtKB:Q04637	EIF4G1	Eukaryotic translation initiation factor 4 gamma 1
UniProtKB:Q96CA5	BIRC7	Baculoviral IAP repeat-containing protein 7
UniProtKB:O75063	FAM20B	Glycosaminoglycan xylosylkinase
UniProtKB:Q8NE63	HIPK4	Homeodomain-interacting protein kinase 4
UniProtKB:O60258	FGF17	Fibroblast growth factor 17
UniProtKB:P22413	ENPP1	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1
UniProtKB:Q9UII4	HERC5	E3 ISG15--protein ligase HERC5
UniProtKB:Q14766	LTBP1	Latent-transforming growth factor beta-binding protein 1
UniProtKB:Q14764	MVP	Major vault protein
UniProtKB:O43187	IRAK2	Interleukin-1 receptor-associated kinase-like 2
UniProtKB:Q9Y3F4	STRAP	Serine-threonine kinase receptor-associated protein
UniProtKB:Q8NE28	STKLD1	Serine/threonine kinase-like domain-containing protein STKLD1
UniProtKB:P22455	FGFR4	Fibroblast growth factor receptor 4
UniProtKB:Q9BV87	CNPPD1	Protein CNPPD1
UniProtKB:P0DMW2	NLRP2B	NLR family pyrin domain-containing protein 2B
UniProtKB:P52333	JAK3	Tyrosine-protein kinase JAK3
UniProtKB:A0A096LP55	UQCRHL	Cytochrome b-c1 complex subunit 6-like, mitochondrial
UniProtKB:P59046	NLRP12	NACHT, LRR and PYD domains-containing protein 12
UniProtKB:Q9Y2Y0	ARL2BP	ADP-ribosylation factor-like protein 2-binding protein
UniProtKB:P27144	AK4	Adenylate kinase 4, mitochondrial
UniProtKB:Q9UD71	PPP1R1B	Protein phosphatase 1 regulatory subunit 1B
UniProtKB:Q9Y375	NDUFAF1	Complex I intermediate-associated protein 30, mitochondrial
UniProtKB:Q9Y2U5	MAP3K2	Mitogen-activated protein kinase kinase kinase 2
UniProtKB:P12277	CKB	Creatine kinase B-type
UniProtKB:Q8NDB2	BANK1	B-cell scaffold protein with ankyrin repeats
UniProtKB:Q9Y2T6	GPR55	G-protein coupled receptor 55
UniProtKB:Q9Y2T1	AXIN2	Axin-2
UniProtKB:P42081	CD86	T-lymphocyte activation antigen CD86
UniProtKB:Q9Y2R2	PTPN22	Tyrosine-protein phosphatase non-receptor type 22
UniProtKB:Q9Y2Q5	LAMTOR2	Ragulator complex protein LAMTOR2
UniProtKB:P10176	COX8A	Cytochrome c oxidase subunit 8A, mitochondrial
UniProtKB:Q96GX5	MASTL	Serine/threonine-protein kinase greatwall
UniProtKB:Q96GX9	APIP	Methylthioribulose-1-phosphate dehydratase
UniProtKB:Q9Y2K2	SIK3	Serine/threonine-protein kinase SIK3
UniProtKB:P99999	CYCS	Cytochrome c
UniProtKB:P30613	PKLR	Pyruvate kinase PKLR
UniProtKB:P10147	CCL3	C-C motif chemokine 3
UniProtKB:P25942	CD40	Tumor necrosis factor receptor superfamily member 5
UniProtKB:Q8ND76	CCNY	Cyclin-Y
UniProtKB:O95429	BAG4	BAG family molecular chaperone regulator 4
UniProtKB:Q14680	MELK	Maternal embryonic leucine zipper kinase
UniProtKB:Q9Y2H9	MAST1	Microtubule-associated serine/threonine-protein kinase 1
UniProtKB:Q0VD86	INCA1	Protein INCA1
UniProtKB:Q9Y2G0	EFR3B	Protein EFR3 homolog B
UniProtKB:P10114	RAP2A	Ras-related protein Rap-2a
UniProtKB:Q5D1E8	ZC3H12A	Endoribonuclease ZC3H12A
UniProtKB:Q14644	RASA3	Ras GTPase-activating protein 3
UniProtKB:Q96A59	MARVELD3	MARVEL domain-containing protein 3
UniProtKB:Q9P126	CLEC1B	C-type lectin domain family 1 member B
UniProtKB:P07602	PSAP	Prosaposin
UniProtKB:Q8ND04	SMG8	Protein SMG8
UniProtKB:Q9Y2B9	PKIG	cAMP-dependent protein kinase inhibitor gamma
UniProtKB:Q9UK05	GDF2	Growth/differentiation factor 2
UniProtKB:P40763	STAT3	Signal transducer and activator of transcription 3
UniProtKB:P05305	EDN1	Endothelin-1
UniProtKB:Q9H2K8	TAOK3	Serine/threonine-protein kinase TAO3
UniProtKB:P20248	CCNA2	Cyclin-A2
UniProtKB:Q9UL62	TRPC5	Short transient receptor potential channel 5
UniProtKB:Q86UN2	RTN4RL1	Reticulon-4 receptor-like 1
UniProtKB:Q9UKW4	VAV3	Guanine nucleotide exchange factor VAV3
UniProtKB:P15531	NME1	Nucleoside diphosphate kinase A
UniProtKB:Q96J02	ITCH	E3 ubiquitin-protein ligase Itchy homolog
UniProtKB:P15514	AREG	Amphiregulin
UniProtKB:P15509	CSF2RA	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
UniProtKB:Q9H2X6	HIPK2	Homeodomain-interacting protein kinase 2
UniProtKB:P62333	PSMC6	26S proteasome regulatory subunit 10B
UniProtKB:O95299	NDUFA10	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial
UniProtKB:O95298	NDUFC2	NADH dehydrogenase [ubiquinone] 1 subunit C2
UniProtKB:P37198	NUP62	Nuclear pore glycoprotein p62
UniProtKB:O95292	VAPB	Vesicle-associated membrane protein-associated protein B/C
UniProtKB:Q96IU2	ZBED3	Zinc finger BED domain-containing protein 3
UniProtKB:P25789	PSMA4	Proteasome subunit alpha type-4
UniProtKB:P25788	PSMA3	Proteasome subunit alpha type-3
UniProtKB:P25787	PSMA2	Proteasome subunit alpha type-2
UniProtKB:P25786	PSMA1	Proteasome subunit alpha type-1
UniProtKB:O95267	RASGRP1	RAS guanyl-releasing protein 1
UniProtKB:O95259	KCNH1	Potassium voltage-gated channel subfamily H member 1
UniProtKB:O95257	GADD45G	Growth arrest and DNA damage-inducible protein GADD45 gamma
UniProtKB:P30411	BDKRB2	B2 bradykinin receptor
UniProtKB:Q14469	HES1	Transcription factor HES-1
UniProtKB:P25713	MT3	Metallothionein-3
UniProtKB:P05231	IL6	Interleukin-6
UniProtKB:P05230	FGF1	Fibroblast growth factor 1
UniProtKB:P67870	CSNK2B	Casein kinase II subunit beta
UniProtKB:Q96JB5	CDK5RAP3	CDK5 regulatory subunit-associated protein 3
UniProtKB:Q14410	GK2	Glycerol kinase 2
UniProtKB:P35998	PSMC2	26S proteasome regulatory subunit 7
UniProtKB:Q14409	GK3P	Glycerol kinase 3
